HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
510071,325,20.21,11.49,28.93,3Q2013,07/01/2013,2Q2015,06/30/2015
510072,3,12.66,0,25.39,3Q2013,07/01/2013,2Q2015,06/30/2015
510077,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
510082,44,14.04,1.96,26.12,3Q2013,07/01/2013,2Q2015,06/30/2015
510086,6,13.47,0.35,26.59,3Q2013,07/01/2013,2Q2015,06/30/2015
510091,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
520002,286,12.82,2.26,23.38,3Q2013,07/01/2013,2Q2015,06/30/2015
520004,633,11.1,3.06,19.15,3Q2013,07/01/2013,2Q2015,06/30/2015
520008,1286,18.97,13.02,24.91,3Q2013,07/01/2013,2Q2015,06/30/2015
520009,384,12.89,3.66,22.12,3Q2013,07/01/2013,2Q2015,06/30/2015
520011,330,11.73,0.69,22.77,3Q2013,07/01/2013,2Q2015,06/30/2015
520013,742,22.34,15.73,28.94,3Q2013,07/01/2013,2Q2015,06/30/2015
520017,89,10.62,0,22.27,3Q2013,07/01/2013,2Q2015,06/30/2015
520019,325,9.42,0,19.29,3Q2013,07/01/2013,2Q2015,06/30/2015
520021,709,17.03,8.9,25.15,3Q2013,07/01/2013,2Q2015,06/30/2015
520027,170,11.57,1.63,21.51,3Q2013,07/01/2013,2Q2015,06/30/2015
520028,350,7.69,0,17.6,3Q2013,07/01/2013,2Q2015,06/30/2015
520030,997,12.88,6.32,19.43,3Q2013,07/01/2013,2Q2015,06/30/2015
520033,283,11.73,1.61,21.85,3Q2013,07/01/2013,2Q2015,06/30/2015
520034,146,10.94,0.35,21.52,3Q2013,07/01/2013,2Q2015,06/30/2015
520035,452,7.17,0,16.75,3Q2013,07/01/2013,2Q2015,06/30/2015
520037,1042,9.69,4.01,15.37,3Q2013,07/01/2013,2Q2015,06/30/2015
520038,147,11.32,0.58,22.06,3Q2013,07/01/2013,2Q2015,06/30/2015
520041,110,11.98,0,24.35,3Q2013,07/01/2013,2Q2015,06/30/2015
520044,210,8.88,0,19.53,3Q2013,07/01/2013,2Q2015,06/30/2015
520045,543,5.68,0,13.36,3Q2013,07/01/2013,2Q2015,06/30/2015
