"ENROLLMENT ID","NPI"
O20031217000637,1477844744
O20031217000637,1760586481
O20031223000481,1568883775
O20031231000324,1689656480
O20040102000082,1881477099
O20040102000800,1659618742
O20040105000092,1033224704
O20040105000092,1225507114
O20040105000092,1306620588
O20040105000092,1881690691
O20040105000092,1932466604
O20040113000148,1629788237
O20040114000041,1851601108
O20040120000104,1881329902
O20040126000792,1578265302
O20040131000349,1104696178
O20040210000010,1114044823
O20040210000010,1578680286
O20040212000003,1033371166
O20040212000003,1093078560
O20040212000003,1275177321
O20040212000003,1356764021
O20040212000003,1386067601
O20040212000003,1437418795
O20040212000003,1568707289
O20040212000003,1568952380
O20040212000003,1629415740
O20040212000003,1649515214
O20040212000003,1700120482
O20040212000003,1790941359
O20040212000003,1881924322
O20040212000003,1902227093
O20040212000003,1912391301
O20040212000003,1942358825
O20040212000003,1962747683
O20040212000566,1023299708
O20040212000566,1093090342
O20040213000152,1205225646
O20040213000152,1306828108
O20040213000152,1417954942
O20040213000152,1508847047
O20040213000152,1538166061
O20040216000296,1184673352
O20040216000296,1780612317
O20040216000496,1144609751
O20040216000496,1144742768
O20040216000496,1154770436
O20040216000496,1235101601
O20040216000496,1235518739
O20040216000496,1265821193
O20040216000496,1558447599
O20040216000496,1710952650
O20040216000496,1760410229
O20040216000496,1760779607
O20040216000496,1821423849
O20040216000496,1952697138
O20040216000496,1992079651
O20040216000496,1992125850
O20040223000165,1770626608
O20040225000092,1962866418
O20040301000229,1073672556
O20040311000223,1174630198
O20040311000908,1083374029
O20040318000618,1609954551
O20040324000835,1053441907
O20040324000835,1104956358
O20040324000835,1245365196
O20040324000835,1639209596
O20040324000835,1831229780
O20040326000635,1740413988
O20040401000327,1366488108
O20040401000593,1801436415
O20040401001597,1013557545
O20040401001597,1093355604
O20040401001597,1568002095
O20040401001597,1831739440
O20040401001597,1912547449
O20040402000874,1104466630
O20040402000874,1740820273
O20040402000874,1992425854
O20040402000955,1841830452
O20040423001282,1619791431
O20040423001282,1942302302
O20040503001641,1255736492
O20040506000713,1003188269
O20040506000713,1013980598
O20040506000713,1093262131
O20040506000713,1114113693
O20040506000713,1134195332
O20040506000713,1154531630
O20040506000713,1336111962
O20040506000713,1376575514
O20040506000713,1396711016
O20040506000713,1396945267
O20040506000713,1407829781
O20040506000713,1417246901
O20040506000713,1417929100
O20040506000713,1467695767
O20040506000713,1508387820
O20040506000713,1558427187
O20040506000713,1619187192
O20040506000713,1730155425
O20040506000713,1932346251
O20040507000522,1780919043
O20040510000046,1275632895
O20040510000046,1346614443
O20040510000046,1437230034
O20040510000046,1619341716
O20040510000046,1669578324
O20040510000367,1528432622
O20040510000738,1275632895
O20040510000738,1437523537
O20040513001122,1003154535
O20040513001122,1427292333
O20040518000225,1780446302
O20040528001161,1265479323
O20040528001161,1962477992
O20040603001508,1487734976
O20040603001508,1699889576
O20040621000530,1568488450
O20040701001296,1376922591
O20040701001296,1386022960
O20040701001296,1437531571
O20040701001296,1669850244
O20040701001296,1689052862
O20040701001296,1730568957
O20040701001296,1750663068
O20040701001296,1770982480
O20040701001296,1861469587
O20040701001296,1962198085
O20040702000527,1093404386
O20040702000527,1275157455
O20040702000527,1275682148
O20040702000527,1356981443
O20040702000527,1407612922
O20040702000527,1871368654
O20040702000527,1932813789
O20040707001135,1184623266
O20040712000073,1114942869
O20040712001532,1376973149
O20040714000591,1871738021
O20040715000425,1396715926
O20040720000291,1073172094
O20040720000291,1093374001
O20040720000291,1093374092
O20040720000291,1114586278
O20040720000291,1184283103
O20040720000291,1225610389
O20040720000291,1457494304
O20040720000291,1467011619
O20040720000291,1477112639
O20040720000291,1558920561
O20040720000291,1730748971
O20040720000291,1891837738
O20040720000291,1962158857
O20040721001357,1124633870
O20040802000138,1578639761
O20040813000250,1356307656
O20040813000250,1487724712
O20040813000250,1639756406
O20040823001363,1619747938
O20040823001363,1932434925
O20040831000112,1356309777
